,Date,Title,Content,Like
0,2020.09.25.,범죄에도 끄떡없는 '철밥통' 의사면허..이번에는 바뀔까?,반드시 면허 취소해라. 왜 지들만 황제대우야. 변호사도 범법자는 면허취소인데.,21
1,2020.09.25.,범죄에도 끄떡없는 '철밥통' 의사면허..이번에는 바뀔까?,"재판 시작되면 면허정지 하고, 판결로 징역형이나 일정정도 벌금형 받게되면 취소하는걸로 하자.  솔직히 범죄자가 범죄를 저지르고도 여전히 칼들고 수술 하겠다는거 말이 안되잖냐...",39
2,2020.09.25.,범죄에도 끄떡없는 '철밥통' 의사면허..이번에는 바뀔까?,180석 가지고 그걸 못한다면 의지가 없는 것이지... 핑계델게 없는 사항이다. 의료법 개정해라 벌금형만으로도 취소되게..,17
3,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요",이해 못 해요 의사라는 직업을 특권층으로 생각하는 자체가 틀린겁니다~,58
4,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요",뭘 어쩌기는 어째?...원칙대로하면 되지...모든 것은 법대로...,41
5,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요",너희는 기회를 달라 하지만 국민들은  특혜를  달라는 소리로만 들린다!,54
6,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요",의사협등에업고 같이쌩깔땐 언제고 사과도 뭣도없이 시민들 건강 협박으로 우물쭈물 묻어가려는 심산이지? 의사협믿고 나불댔다가 큰코다쳤네 의사협이 당신들 보호 해줄수있었다면 애초에 이런사태조차도 없었겠지 그걸 몰랐나?,37
7,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요",공부만 잘하는 머저리들같다,23
8,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요",뭘 어찌합니까 대학4년생이면 스스로 행동한것을 스스로 책임질 줄도 알아야합니다. 예비의사라서 특별대우를 해 줘야 하는겁니까 두번이나 기회를 줬고 끝까지 걷어찬것 그들 자신입니다. 스스로 책임있는 행동을 하라 하세요.  내년에 봅시다.,109
9,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요","도대체 이게 기삿거리가 되는 게 더 신기하다.   20대, 공정을 말하면서 의대생에겐 예외적 공정이 존재한단 말인가?",77
10,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요",정부는 단호하게 거절해라 만약 받아주면 다음에또 그럴것이다 이번에버르장머리를고쳐놔라 돈많고 공부못힐것들 일년더공부해라,48
11,2020.09.25.,"""의대생만 특혜""vs""학생들 기회 달라""..의사시험 어찌 해야 하나요",아니 왜 이슈가되는거야? 규칙과 일정은 지키라고 있는거야 의사가 뭐라고 예외야 계속?,85
12,2020.09.25.,"""국가고시가 미용실 예약이냐""..의대생 '응시' 요청, 여론은 '싸늘'",기차시간 놓쳤으면 다음 기차 타,18
13,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,공공의대 찬성 이번 코로나와 의협의 진료거부 사태를 보니 더욱  더 격하게 공공의대 찬성입니다,97
14,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,지금도 의사 수가 부족하다 니들은 돈만보고 있지 국민들은 의사가 적어 생명이 왔다갔다 한다 대학병원에서 수술을 할려면 대개줄이 넘 길다.,44
15,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,공공의대 찬성도 청원해야 되나보네 난 공공의대 찬성,164
16,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,"공공의대를 추천제로 뽑는거에 반대할 뿐이지 공공의대도 수능으로 우수한 인재가 간다면 전혀 반대하지 않는다  기존 의대, 기존 의사들 그리고 그 가족들이 반대할 뿐이다  공공의대생들은 인성도 좀 잘 교육시켜서 몰카도 찍지 않게 하고 길거리 여성 데려다 성폭행도 하지 말게 했으면 좋겠다  기존 의대생들처럼 엄마 찾는 것도 좀 적당히 하게 하고",98
17,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,공공의대 반드시 있어야 할듯~,73
18,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,공공의대 반대가 20만? 누가 공공의대 찬성 청원 올려라. 2000만은 넘을 걸.,98
19,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,그럼 공공의대 설립찬성에 얼마나 모이는지 함 해보시죠???,86
20,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,우리나라 인구 5100만중 나머지 5080만은 찬성이다,79
21,2020.09.25.,공공의대 완전철회 청원 동의 20만명 넘었다,나머지 국민들은 공공의대 설립 찬성. 의사들빼고 거의 다 찬성,146
22,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",수능은?변호사 시험은? 회계사 시험은? 공무원 시험은?  공인 중개사 시험은?  이중에 하나의 시험이 다시 보게 해 달라고 하면 해줄거야?,54
23,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",공공의대 공정치 못하다며 데모한 것들이 니들 행동이 공정 여부는 분간 못하냬 이기적인 것들이 어디서 공정을 외치고 남의 병 고쳐준다고 하냐?,55
24,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",국민일보가 기사를 이렇게 쓰니까 낯설다~~,15
25,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",이게 잘못의 시작인거다~~불행하지만 여기서부터 다시 고쳐야지.... 구역질나는 의사들의 특권의식~~!!,37
26,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",걍 미친집단,11
27,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",공부는 잘하는 사회화라고는 1도 안된 초딩.. 1년 동안 많이 성장하기를 진심으로 바랍니다!,22
28,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",원래 자신만아는 의료기술자들이니까 반성이나 사과는 없는거지요.그냥 법대로 내년에 시험보는걸로 합시다.,28
29,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",의사 수 늘려야 되는 이유가 바로 여기있다. 의대생 까지 희소성 믿고 개♬♬♪♪♩~을 떨잖는가. 싹수가 글렀다. 의사되도 수틀리면 단체행동 파업할 얘들.  애초에 없는게 낫다. 여기서 싹을 자르지 못하면 그 밑에 학년 얘들도 똑같이 따라한다.,81
30,2020.09.25.,"""당당하게 특혜 요구""..사과 없는 의대생들 태도 논란",지금 이놈들에게 특혜를 주면 더 끔찍한 괴물들이 될 겁니다.,37
31,2020.09.24.,"의대 본과 4학년들 ""의사 국시 응시하겠다"" 공식 발표",말도 안됩니다.국가고시라는게 그렇게 우스운가요?.그럴게 하고싶은대로 맘대로 할수있는 시험이었어요?? 본인들이 한 행동에 대한 책임은 질 줄 알아야하는거 아닌가요?...저런 인성도 제대로 안된 인간들을 나중에 의사로 마주칠수있다니..끔찍하네요.,15
32,2020.09.24.,국민에 사과 없이 갑자기 시험 보겠다는 의대생들..정부는 '불허',선민의식  특권의식인가? 비록 맘에 안 들지만 니들을 위해 우리가 시험 쳐주겠다는건가? 왜 당신들이 포기한 시험에 우리가 신경쓰고 있어야 하는가? 포기했으면 깔끔하게 담에 쳐라,2250
